Country,State,District,Block,Year,Month,Village Name,"Number Of Households Issue Job Card Schedule Castes (Scs) (UOM:Number), Scaling Factor:1","Number Of Households Issue Job Card Schedule Tribes (Sts) (UOM:Number), Scaling Factor:1","Number Of Households Issue Job Card Others (UOM:Number), Scaling Factor:1","Total Number Of Households Issue Job Card (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Schedule Castes (Scs) (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Schedule Tribes (Sts) (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Others (UOM:Number), Scaling Factor:1","Total Number Of Household Provided Employment (UOM:Number), Scaling Factor:1","Number Of Employment Provided To Woman (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Scheduled Caste (Scs) (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Scheduled Tribe (Sts) (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Others (UOM:Number), Scaling Factor:1","Total Number Of Person Days Generated (UOM:Number), Scaling Factor:1","Number Of Person Days Generated For Woman (UOM:Number), Scaling Factor:1","Families Completed 100days Scheduled Caste (Scs) (UOM:Number), Scaling Factor:1","Families Completed 100days Scheduled Tribe (Sts) (UOM:Number), Scaling Factor:1","Families Completed 100days Others (UOM:Number), Scaling Factor:1","Total Families Completed 100 Days (UOM:Number), Scaling Factor:1"
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2015","June, 2015",dorengkigre,0,58,1,59,0,58,1,59,62,0,4350,75,4425,2301,0,0,0,0
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2015","June, 2015",ganingbibra,0,65,0,65,0,65,0,65,69,0,3510,0,3510,945,0,0,0,0
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2015","June, 2015",ganinggre,0,42,1,43,0,42,1,43,4,0,3150,75,3225,300,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",gabil waridipo,0,44,0,44,0,41,0,41,13,0,2955,0,2955,763,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",gaoram,0,38,1,39,0,38,1,39,53,0,2832,75,2907,1713,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",gobekram,0,25,0,25,0,25,0,25,1,0,1542,0,1542,63,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",gongdop,0,57,0,57,0,57,0,57,58,0,4275,0,4275,2155,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",imsamdrop,0,29,0,29,0,28,0,28,17,0,1799,0,1799,622,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",imtra apal,0,86,1,87,0,84,1,85,86,0,6202,75,6277,2956,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",jalwagre asokagittim,0,22,0,22,0,22,0,22,12,0,1650,0,1650,471,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",jalwagre songgital,0,53,1,54,0,51,1,52,2,0,3776,69,3845,150,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",jambal songma,0,88,0,88,0,87,0,87,96,0,6520,0,6520,2979,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",jawagre dodonggitim,0,13,0,13,0,13,0,13,10,0,843,0,843,324,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",jawagre songgitcham,0,30,0,30,0,30,0,30,26,0,2250,0,2250,1070,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",kakdap,0,29,0,29,0,26,0,26,5,0,1950,0,1950,375,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",kanchija,0,27,3,30,0,27,3,30,29,0,1995,225,2220,1140,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",lower gabil patal,0,74,2,76,0,74,2,76,80,0,5425,149,5574,2763,0,0,0,0
